bc_id,short_name,synonyms
C64470,Absolute Basophil Count,Basophils;Total Basophil Count
C64470,Absolute Basophil Count,Basophils;Total Basophil Count
C64470,Absolute Basophil Count,Basophils;Total Basophil Count
C64470,Absolute Basophil Count,Basophils;Total Basophil Count
C64470,Absolute Basophil Count,Basophils;Total Basophil Count
C63321,Absolute Neutrophil Count,Neutrophils;Total Neutrophil Count;NEUT
C63321,Absolute Neutrophil Count,Neutrophils;Total Neutrophil Count;NEUT
C63321,Absolute Neutrophil Count,Neutrophils;Total Neutrophil Count;NEUT
C63321,Absolute Neutrophil Count,Neutrophils;Total Neutrophil Count;NEUT
C63321,Absolute Neutrophil Count,Neutrophils;Total Neutrophil Count;NEUT
C123424,Academic Research Council Coronary Stent Thrombosis Timing,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing"
C123424,Academic Research Council Coronary Stent Thrombosis Timing,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing"
C123424,Academic Research Council Coronary Stent Thrombosis Timing,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing"
C123424,Academic Research Council Coronary Stent Thrombosis Timing,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing"
C123424,Academic Research Council Coronary Stent Thrombosis Timing,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing"
C123424,Academic Research Council Coronary Stent Thrombosis Timing,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing"
C38462,Activated Partial Thromboplastin Time,APTT
C38462,Activated Partial Thromboplastin Time,APTT
C38462,Activated Partial Thromboplastin Time,APTT
C38462,Activated Partial Thromboplastin Time,APTT
C38462,Activated Partial Thromboplastin Time,APTT
C68609,Active Comparator,Active Control
C68612,Active Comparator Drug,Comparative Treatment Name;COMPTRT
C68612,Active Comparator Drug,Comparative Treatment Name;COMPTRT
C68612,Active Comparator Drug,Comparative Treatment Name;COMPTRT
C68612,Active Comparator Drug,Comparative Treatment Name;COMPTRT
C68612,Active Comparator Drug,Comparative Treatment Name;COMPTRT
C204695,Actively Menstruating Indicator,AMENSIND
C204695,Actively Menstruating Indicator,AMENSIND
C178050,Actual Date of Delivery,ADLVRDTC
C178050,Actual Date of Delivery,ADLVRDTC
C98703,Actual Subject Number,ACTSUB;Actual Number of Subjects
C98703,Actual Subject Number,ACTSUB;Actual Number of Subjects
C98703,Actual Subject Number,ACTSUB;Actual Number of Subjects
C119239,Acute Myocardial Infarction From PCI Complication Type,PCIAAC;PCI Acute Angiographic Complication
C119239,Acute Myocardial Infarction From PCI Complication Type,PCIAAC;PCI Acute Angiographic Complication
C119239,Acute Myocardial Infarction From PCI Complication Type,PCIAAC;PCI Acute Angiographic Complication
C119239,Acute Myocardial Infarction From PCI Complication Type,PCIAAC;PCI Acute Angiographic Complication
C119239,Acute Myocardial Infarction From PCI Complication Type,PCIAAC;PCI Acute Angiographic Complication
C119239,Acute Myocardial Infarction From PCI Complication Type,PCIAAC;PCI Acute Angiographic Complication
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C118936,Acute Myocardial Infarction Type,ACMITYPE
C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification,APACHE II
C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification,APACHE II
C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification,APACHE II
C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification,APACHE II
C146995,Adaptive Study Design Indicator,ADAPT;Adaptive Design
C146995,Adaptive Study Design Indicator,ADAPT;Adaptive Design
C146995,Adaptive Study Design Indicator,ADAPT;Adaptive Design
C146995,Adaptive Study Design Indicator,ADAPT;Adaptive Design
C146995,Adaptive Study Design Indicator,ADAPT;Adaptive Design
C146995,Adaptive Study Design Indicator,ADAPT;Adaptive Design
C189634,Additional Disease-Related Findings,ADDRELF
C189634,Additional Disease-Related Findings,ADDRELF
C156601,Additional Outcome Measure,OUTMSADD
C156601,Additional Outcome Measure,OUTMSADD
C156601,Additional Outcome Measure,OUTMSADD
C189362,Adrenarche Age,ADRNRAGE
C189362,Adrenarche Age,ADRNRAGE
C189362,Adrenarche Age,ADRNRAGE
C83347,Adverse Event Yes No Indicator,AEYN
C83347,Adverse Event Yes No Indicator,AEYN
C69217,Age Started,Age at Onset
C135383,Age at Death,AGEDTH;Age At Date of Death
C135383,Age at Death,AGEDTH;Age At Date of Death
C135383,Age at Death,AGEDTH;Age At Date of Death
C201481,Age at First Oral Sex,FSXOAGE
C201481,Age at First Oral Sex,FSXOAGE
C201481,Age at First Oral Sex,FSXOAGE
C201480,Age at First Sexual Intercourse,FSXIAGE
C201480,Age at First Sexual Intercourse,FSXIAGE
C201480,Age at First Sexual Intercourse,FSXIAGE
C19666,Age at Menarche,MENARAGE;Menarche Age
C19666,Age at Menarche,MENARAGE;Menarche Age
C19666,Age at Menarche,MENARAGE;Menarche Age
C106497,Age at Menopause,MENOAGE;Menopause Age
C106497,Age at Menopause,MENOAGE;Menopause Age
C106497,Age at Menopause,MENOAGE;Menopause Age
C117773,Aggregate PR Interval,PR Interval Aggregate;PQ Interval Aggregate;PRAG;PQAG
